ra,dec,V,eV,I,eI
1 00 03.600,-33 39 27.100,17.607,0.002,16.402,0.002
0 56 29.280,-33 39 27.200,20.736,0.015,19.175,0.011
1 02 18.980,-33 39 27.200,19.672,0.011,18.953,0.017
1 00 50.300,-33 39 27.300,22.401,0.038,22.191,0.132
1 05 42.340,-33 39 27.300,14.227,0.001,13.549,0.001
0 59 47.840,-33 39 27.400,18.899,0.004,17.967,0.004
1 00 07.890,-33 39 27.500,22.242,0.034,21.623,0.074
1 03 07.110,-33 39 27.600,19.243,0.008,18.365,0.008
0 59 52.670,-33 39 27.700,22.289,0.034,21.977,0.106
1 01 14.290,-33 39 27.900,19.139,0.004,18.520,0.006
0 57 49.590,-33 39 28.000,22.161,0.056,20.912,0.050
1 00 09.930,-33 39 28.000,21.182,0.015,21.332,0.065
0 59 42.520,-33 39 28.200,21.285,0.016,20.486,0.027
0 59 51.370,-33 39 28.200,21.798,0.023,21.362,0.061
0 59 18.410,-33 39 28.400,20.103,0.007,19.883,0.018
1 00 07.670,-33 39 28.500,20.024,0.007,19.416,0.012
1 00 52.820,-33 39 28.600,21.895,0.025,21.894,0.105
1 03 50.240,-33 39 28.600,21.209,0.040,20.630,0.051
0 59 56.780,-33 39 28.700,18.797,0.004,17.804,0.004
0 59 19.470,-33 39 28.800,21.020,0.014,20.214,0.021
1 01 02.010,-33 39 28.800,18.022,0.003,16.947,0.002
1 01 54.440,-33 39 28.900,21.257,0.037,18.980,0.017
0 56 00.100,-33 39 29.000,20.171,0.010,20.090,0.025
0 58 22.440,-33 39 29.000,20.253,0.012,20.151,0.028
1 00 13.350,-33 39 29.100,20.706,0.011,19.947,0.018
1 04 02.410,-33 39 29.200,23.323,0.258,21.932,0.153
0 58 02.100,-33 39 29.500,19.413,0.008,18.614,0.008
0 58 44.200,-33 39 29.600,21.139,0.023,20.432,0.034
0 59 37.610,-33 39 29.700,22.306,0.034,21.979,0.105
1 00 47.550,-33 39 29.700,21.808,0.024,21.161,0.051
1 00 36.790,-33 39 29.800,22.134,0.030,21.624,0.075
1 01 35.680,-33 39 29.900,21.869,0.053,21.405,0.138
1 00 22.940,-33 39 30.000,22.923,0.062,21.288,0.047
0 55 48.530,-33 39 30.200,21.396,0.023,20.983,0.052
0 57 55.550,-33 39 30.300,19.700,0.009,18.456,0.007
1 00 49.840,-33 39 30.300,16.005,0.001,15.084,0.001
0 58 35.320,-33 39 30.600,19.861,0.010,19.051,0.011
0 59 17.880,-33 39 30.600,21.896,0.026,21.364,0.058
1 00 37.310,-33 39 30.700,20.042,0.007,19.165,0.010
0 58 43.330,-33 39 30.800,21.337,0.027,20.577,0.038
1 00 51.200,-33 39 30.800,22.660,0.048,21.924,0.096
0 59 33.940,-33 39 30.900,19.036,0.004,18.470,0.006
0 58 54.950,-33 39 31.000,21.788,0.023,21.174,0.046
0 59 41.770,-33 39 31.000,18.896,0.004,17.928,0.004
1 00 00.530,-33 39 31.000,21.353,0.017,20.669,0.033
0 59 55.770,-33 39 31.100,21.777,0.023,21.282,0.057
1 00 27.310,-33 39 31.100,21.899,0.025,21.398,0.062
1 04 05.890,-33 39 31.400,18.886,0.007,18.035,0.006
1 00 38.150,-33 39 31.500,20.560,0.010,19.736,0.015
1 00 06.910,-33 39 31.700,21.940,0.027,21.184,0.050
0 59 59.650,-33 39 31.900,18.031,0.003,16.931,0.002
1 06 35.270,-33 39 31.900,23.309,0.179,21.091,0.063
0 59 47.640,-33 39 32.000,20.856,0.012,20.057,0.019
1 01 10.610,-33 39 32.100,19.486,0.005,18.558,0.006
0 59 35.860,-33 39 32.200,21.806,0.023,21.685,0.084
0 55 28.920,-33 39 32.300,21.812,0.034,19.792,0.017
0 59 29.290,-33 39 32.300,16.521,0.001,15.861,0.001
1 00 17.570,-33 39 32.300,20.217,0.008,19.549,0.013
0 59 14.850,-33 39 32.600,20.417,0.009,19.936,0.018
0 59 27.000,-33 39 32.600,20.243,0.008,19.466,0.012
1 00 04.450,-33 39 32.600,20.210,0.008,19.536,0.013
1 00 15.740,-33 39 32.600,21.144,0.015,20.369,0.025
0 59 56.830,-33 39 32.700,20.091,0.008,19.336,0.011
1 00 24.980,-33 39 32.700,20.204,0.008,19.395,0.012
0 59 31.280,-33 39 32.800,21.377,0.017,20.641,0.031
0 59 40.630,-33 39 32.800,18.884,0.004,17.940,0.004
1 00 27.480,-33 39 32.800,20.229,0.008,19.390,0.011
1 02 38.150,-33 39 32.800,16.321,0.002,15.932,0.002
1 00 19.070,-33 39 33.000,19.516,0.006,18.633,0.007
1 00 29.490,-33 39 33.100,21.815,0.024,21.071,0.045
0 54 12.380,-33 39 33.200,18.070,0.004,17.398,0.004
1 00 24.380,-33 39 33.300,19.329,0.005,18.580,0.007
1 07 02.040,-33 39 33.300,16.473,0.001,15.200,0.001
0 59 27.710,-33 39 33.400,20.496,0.009,19.998,0.019
1 02 53.350,-33 39 33.400,16.339,0.001,15.519,0.001
1 00 03.430,-33 39 33.500,21.320,0.017,20.602,0.031
0 52 49.890,-33 39 33.700,22.612,0.114,21.870,0.145
0 59 49.250,-33 39 33.800,22.031,0.028,21.418,0.062
0 55 22.440,-33 39 33.900,23.508,0.140,21.186,0.057
1 00 43.320,-33 39 34.000,21.944,0.026,21.322,0.056
1 00 17.180,-33 39 34.100,20.209,0.008,19.500,0.013
1 00 33.890,-33 39 34.100,21.251,0.016,20.520,0.028
1 01 21.860,-33 39 34.200,21.093,0.014,20.270,0.022
1 05 11.970,-33 39 34.400,20.704,0.013,19.173,0.011
0 59 16.280,-33 39 34.700,16.484,0.001,15.256,0.001
0 59 43.430,-33 39 34.700,20.971,0.013,20.304,0.024
1 00 58.320,-33 39 34.800,18.001,0.003,16.811,0.002
1 01 02.620,-33 39 35.000,22.994,0.067,21.196,0.043
1 00 05.410,-33 39 35.100,20.310,0.008,20.161,0.023
0 59 15.070,-33 39 35.300,20.664,0.011,19.205,0.009
0 58 36.040,-33 39 35.400,22.068,0.048,21.714,0.103
0 58 56.790,-33 39 35.500,22.845,0.053,22.337,0.129
1 00 40.340,-33 39 35.500,20.258,0.008,19.594,0.014
1 00 48.060,-33 39 35.500,21.276,0.017,20.599,0.031
1 06 19.190,-33 39 35.500,22.840,0.123,20.465,0.037
1 00 30.360,-33 39 35.600,21.809,0.024,21.231,0.053
1 00 11.300,-33 39 35.700,18.144,0.003,17.131,0.003
1 00 31.230,-33 39 35.700,16.103,0.001,15.436,0.001
1 01 37.610,-33 39 35.800,22.349,0.079,22.065,0.242
0 58 55.580,-33 39 36.000,19.687,0.006,18.967,0.008
1 01 15.180,-33 39 36.000,18.541,0.003,17.464,0.003
0 59 19.670,-33 39 36.300,21.842,0.025,21.232,0.051
1 00 54.240,-33 39 36.400,22.914,0.058,22.377,0.146
1 01 01.770,-33 39 36.500,20.117,0.007,19.977,0.020
0 58 47.200,-33 39 36.600,21.647,0.020,20.956,0.037
0 59 34.500,-33 39 36.700,20.774,0.012,19.989,0.018
1 00 27.430,-33 39 37.000,22.091,0.030,21.458,0.064
0 59 55.840,-33 39 37.100,21.508,0.019,20.844,0.038
1 00 51.140,-33 39 37.100,20.237,0.008,19.552,0.013
0 53 53.030,-33 39 37.200,21.760,0.061,20.580,0.047
0 57 32.050,-33 39 37.200,17.241,0.002,15.818,0.002
1 00 26.890,-33 39 37.200,23.148,0.070,22.555,0.164
1 00 34.660,-33 39 37.400,22.839,0.053,22.443,0.153
0 59 56.740,-33 39 37.600,19.304,0.005,18.390,0.006
1 00 45.940,-33 39 37.600,22.485,0.040,22.040,0.107
0 57 15.140,-33 39 38.000,22.866,0.101,21.492,0.084
0 59 58.100,-33 39 38.100,22.001,0.028,21.293,0.055
1 00 20.670,-33 39 38.100,20.213,0.008,19.562,0.013
1 04 21.510,-33 39 38.100,18.692,0.006,16.569,0.002
0 59 39.790,-33 39 38.200,21.605,0.020,21.233,0.055
1 00 24.060,-33 39 38.300,19.336,0.005,18.520,0.006
0 59 54.030,-33 39 39.000,22.003,0.028,21.335,0.058
1 01 43.580,-33 39 39.000,20.218,0.015,20.158,0.048
1 00 18.590,-33 39 39.100,17.796,0.002,16.688,0.002
1 00 54.470,-33 39 39.100,21.516,0.020,20.714,0.034
1 00 26.210,-33 39 39.300,22.496,0.041,21.835,0.088
1 00 42.920,-33 39 39.300,22.922,0.056,22.619,0.179
0 59 22.960,-33 39 39.700,21.809,0.023,21.880,0.100
1 00 24.660,-33 39 39.700,18.477,0.003,17.457,0.003
1 00 57.560,-33 39 39.700,19.747,0.011,18.841,0.015
0 55 46.860,-33 39 40.000,17.813,0.003,15.466,0.001
1 00 04.130,-33 39 40.000,21.882,0.026,21.059,0.045
0 59 45.870,-33 39 40.100,20.206,0.008,19.386,0.011
1 00 28.430,-33 39 40.100,22.256,0.034,21.530,0.067
1 00 26.570,-33 39 40.200,23.025,0.062,22.565,0.169
1 01 05.210,-33 39 40.200,18.573,0.006,17.571,0.006
1 02 21.150,-33 39 40.500,19.668,0.011,19.091,0.019
1 00 45.330,-33 39 40.700,20.334,0.009,19.468,0.012
1 01 45.420,-33 39 40.700,14.611,0.001,14.104,0.001
0 59 44.890,-33 39 40.900,22.548,0.042,22.114,0.116
0 53 10.350,-33 39 41.200,23.143,0.223,19.777,0.022
0 56 29.560,-33 39 41.200,22.333,0.046,21.639,0.088
0 58 33.750,-33 39 41.200,20.155,0.012,19.296,0.014
1 00 55.570,-33 39 41.500,21.629,0.021,20.832,0.037
1 06 44.780,-33 39 41.500,20.737,0.014,19.263,0.012
0 59 29.340,-33 39 41.800,20.648,0.011,19.831,0.016
0 58 50.410,-33 39 41.900,21.035,0.013,20.184,0.019
0 59 31.520,-33 39 42.000,20.180,0.008,19.365,0.011
1 00 23.240,-33 39 42.200,21.425,0.018,20.855,0.039
1 01 36.720,-33 39 42.200,21.581,0.043,20.866,0.086
0 56 24.230,-33 39 42.600,19.361,0.007,16.702,0.002
1 01 44.640,-33 39 42.600,16.060,0.002,15.297,0.002
0 58 22.980,-33 39 43.000,20.145,0.012,19.849,0.022
1 01 05.100,-33 39 43.300,16.471,0.001,15.768,0.001
1 07 04.690,-33 39 43.400,20.306,0.011,18.155,0.005
0 59 26.280,-33 39 43.500,20.261,0.008,20.162,0.023
0 59 16.280,-33 39 43.600,22.302,0.035,21.645,0.072
1 00 34.100,-33 39 43.600,20.722,0.011,19.890,0.017
0 59 00.000,-33 39 43.700,22.198,0.032,21.547,0.064
0 53 40.060,-33 39 43.800,21.075,0.033,20.331,0.039
0 59 15.130,-33 39 43.800,18.060,0.003,16.992,0.002
1 00 13.830,-33 39 44.000,19.799,0.007,18.951,0.008
0 58 40.820,-33 39 44.100,18.902,0.006,17.962,0.005
1 03 25.980,-33 39 44.100,20.080,0.015,19.999,0.031
1 05 09.640,-33 39 44.200,21.956,0.036,19.632,0.016
0 52 52.140,-33 39 44.500,18.583,0.005,17.114,0.003
1 00 42.750,-33 39 44.500,20.369,0.009,19.541,0.013
1 00 20.170,-33 39 44.600,19.625,0.006,18.739,0.007
0 56 42.580,-33 39 44.700,20.529,0.012,20.018,0.022
0 59 40.300,-33 39 45.000,19.053,0.004,18.099,0.005
1 00 32.140,-33 39 45.000,21.964,0.027,21.329,0.057
0 59 22.580,-33 39 45.200,21.912,0.026,21.198,0.049
1 00 59.650,-33 39 45.200,20.482,0.009,20.512,0.032
0 56 53.910,-33 39 45.300,20.176,0.010,20.036,0.025
0 57 34.840,-33 39 45.600,18.083,0.004,17.133,0.003
1 00 17.940,-33 39 45.600,21.253,0.016,20.669,0.033
0 54 19.770,-33 39 45.800,20.305,0.017,19.268,0.016
0 59 48.680,-33 39 45.800,20.411,0.009,19.967,0.019
1 00 36.870,-33 39 45.800,22.994,0.060,22.519,0.161
1 07 06.920,-33 39 46.000,23.068,0.152,20.759,0.050
0 57 41.950,-33 39 46.100,21.765,0.039,21.157,0.063
1 00 19.490,-33 39 46.100,21.442,0.019,20.622,0.031
1 00 14.400,-33 39 46.200,21.302,0.017,20.608,0.031
0 59 21.720,-33 39 46.400,20.350,0.009,19.487,0.012
0 53 51.180,-33 39 46.500,19.688,0.012,18.037,0.006
0 57 55.800,-33 39 46.500,21.713,0.037,21.159,0.064
1 04 23.510,-33 39 46.700,18.007,0.004,16.681,0.003
0 59 16.900,-33 39 46.800,20.221,0.008,20.125,0.022
0 59 19.740,-33 39 46.800,22.339,0.037,21.722,0.078
0 57 18.910,-33 39 46.900,23.327,0.122,21.096,0.053
0 59 37.080,-33 39 46.900,20.248,0.008,19.548,0.013
1 00 16.310,-33 39 47.100,20.650,0.011,20.004,0.019
1 06 05.770,-33 39 47.200,18.266,0.003,16.605,0.002
1 03 03.360,-33 39 47.400,18.584,0.005,17.187,0.003
0 53 34.830,-33 39 47.500,16.675,0.002,15.449,0.001
0 56 44.900,-33 39 47.500,20.188,0.010,19.996,0.022
1 00 56.440,-33 39 47.500,22.347,0.037,21.717,0.082
1 06 31.790,-33 39 47.500,21.005,0.017,18.619,0.007
0 59 59.960,-33 39 47.900,21.607,0.021,20.954,0.042
0 57 49.800,-33 39 48.000,18.820,0.006,16.558,0.002
0 59 39.710,-33 39 48.000,22.057,0.029,21.424,0.062
1 00 25.010,-33 39 48.000,18.646,0.004,17.714,0.004
1 00 54.290,-33 39 48.000,20.031,0.007,19.236,0.010
0 59 23.320,-33 39 48.200,21.909,0.026,21.232,0.051
1 00 22.010,-33 39 48.200,18.798,0.004,17.818,0.004
0 58 33.940,-33 39 48.700,22.183,0.053,21.739,0.105
0 59 49.220,-33 39 48.800,17.669,0.002,16.532,0.002
1 00 11.030,-33 39 48.800,22.633,0.046,21.961,0.098
1 01 49.230,-33 39 48.800,21.710,0.047,21.203,0.117
0 56 32.010,-33 39 49.100,23.222,0.097,22.277,0.150
0 59 19.330,-33 39 49.100,20.219,0.008,20.107,0.022
1 00 06.970,-33 39 49.100,20.224,0.008,20.029,0.021
0 58 06.720,-33 39 49.300,19.541,0.008,19.106,0.012
0 59 24.220,-33 39 49.300,21.029,0.014,20.276,0.023
1 00 26.080,-33 39 49.400,22.518,0.042,21.677,0.075
1 00 21.590,-33 39 49.500,20.238,0.008,20.174,0.024
0 56 45.000,-33 39 49.600,20.175,0.009,20.086,0.024
0 59 07.480,-33 39 49.700,22.790,0.052,22.210,0.117
1 00 01.480,-33 39 49.800,17.849,0.002,16.605,0.002
1 00 03.120,-33 39 49.800,20.332,0.009,20.337,0.028
0 59 40.020,-33 39 49.900,21.404,0.018,20.787,0.036
0 59 32.570,-33 39 50.200,21.620,0.020,20.961,0.041
0 59 53.520,-33 39 50.200,22.184,0.030,22.223,0.138
0 56 59.230,-33 39 50.300,18.954,0.005,18.100,0.006
0 59 30.390,-33 39 50.300,21.522,0.019,20.764,0.034
0 57 30.520,-33 39 50.400,20.058,0.011,19.892,0.022
0 59 46.830,-33 39 50.400,18.276,0.003,17.225,0.003
1 02 25.330,-33 39 50.400,17.760,0.004,16.782,0.004
0 58 44.330,-33 39 50.500,22.482,0.065,22.465,0.197
1 00 39.380,-33 39 50.500,21.503,0.019,20.841,0.037
0 57 49.150,-33 39 50.600,18.386,0.005,16.035,0.002
1 00 10.690,-33 39 50.600,20.144,0.008,20.097,0.022
1 00 43.150,-33 39 50.600,21.831,0.024,21.201,0.051
0 57 11.120,-33 39 50.700,22.747,0.068,22.155,0.146
1 00 02.130,-33 39 50.700,22.570,0.042,22.328,0.145
0 57 15.990,-33 39 50.800,21.501,0.025,20.702,0.041
0 59 37.160,-33 39 50.800,20.295,0.008,20.290,0.026
0 59 10.080,-33 39 51.200,20.292,0.009,19.448,0.011
1 00 20.890,-33 39 51.500,21.952,0.027,21.420,0.063
1 00 25.330,-33 39 51.500,22.925,0.062,21.317,0.049
1 03 51.220,-33 39 51.600,22.646,0.160,19.981,0.026
1 04 09.900,-33 39 51.700,19.107,0.008,18.531,0.009
1 01 21.450,-33 39 52.000,22.310,0.034,21.754,0.081
0 59 27.240,-33 39 52.100,20.546,0.010,20.580,0.033
0 57 02.330,-33 39 52.200,20.667,0.014,19.296,0.013
0 59 16.050,-33 39 52.200,22.104,0.030,21.888,0.095
0 59 38.980,-33 39 52.200,21.402,0.018,20.782,0.036
1 00 09.580,-33 39 52.400,21.788,0.024,21.072,0.045
0 58 32.190,-33 39 52.500,20.898,0.020,20.198,0.028
1 00 05.260,-33 39 52.600,22.542,0.042,21.887,0.093
0 58 26.640,-33 39 52.700,21.902,0.042,21.381,0.078
0 59 52.210,-33 39 52.700,18.317,0.003,17.346,0.003
1 00 54.340,-33 39 52.700,20.202,0.008,20.025,0.021
0 59 54.450,-33 39 53.000,19.734,0.007,17.302,0.003
0 59 42.530,-33 39 53.200,19.033,0.004,18.097,0.005
0 59 58.410,-33 39 53.200,21.544,0.020,20.898,0.040
1 00 11.990,-33 39 53.200,20.030,0.007,19.196,0.010
1 00 26.570,-33 39 53.400,22.497,0.040,22.424,0.159
1 00 50.780,-33 39 53.600,20.236,0.008,19.459,0.012
1 02 15.030,-33 39 53.600,15.744,0.001,14.933,0.001
0 59 58.640,-33 39 53.700,21.159,0.015,20.361,0.025
1 02 18.280,-33 39 53.800,16.122,0.002,15.559,0.002
0 55 56.320,-33 39 53.900,19.796,0.008,19.367,0.014
0 58 49.540,-33 39 53.900,22.163,0.030,21.383,0.054
1 01 00.440,-33 39 54.000,18.588,0.003,17.606,0.003
1 00 39.000,-33 39 54.100,17.378,0.002,16.692,0.002
1 00 37.900,-33 39 54.200,22.547,0.042,21.966,0.099
1 00 58.950,-33 39 54.200,21.369,0.017,21.329,0.064
0 59 40.420,-33 39 54.300,18.797,0.004,17.785,0.004
1 01 14.590,-33 39 54.400,22.012,0.026,22.007,0.112
0 59 59.710,-33 39 54.500,22.027,0.028,21.394,0.061
1 06 05.110,-33 39 54.600,21.020,0.017,19.347,0.013
0 59 32.040,-33 39 54.700,20.357,0.009,19.485,0.012
1 00 08.710,-33 39 54.800,18.073,0.003,17.047,0.003
1 00 36.450,-33 39 54.900,22.450,0.039,21.982,0.102
0 59 48.920,-33 39 55.000,20.221,0.008,19.507,0.013
1 00 07.590,-33 39 55.000,20.495,0.009,20.543,0.033
0 59 54.550,-33 39 55.400,19.915,0.007,19.003,0.009
1 00 00.400,-33 39 55.400,21.277,0.016,20.752,0.036
1 00 41.360,-33 39 55.500,21.502,0.019,20.819,0.036
1 00 21.360,-33 39 55.600,22.154,0.031,21.688,0.080
0 59 57.810,-33 39 55.800,20.241,0.008,19.590,0.014
0 56 41.390,-33 39 56.000,22.514,0.052,22.171,0.140
0 57 59.860,-33 39 56.000,20.161,0.012,20.082,0.027
1 01 36.990,-33 39 56.000,22.093,0.066,21.300,0.124
1 00 40.160,-33 39 56.300,22.709,0.047,22.398,0.149
1 04 50.200,-33 39 56.300,19.165,0.005,16.691,0.002
0 54 14.090,-33 39 56.600,19.756,0.012,17.967,0.006
0 59 50.040,-33 39 56.600,21.651,0.021,20.915,0.040
1 00 04.220,-33 39 56.600,19.039,0.004,18.082,0.005
1 00 23.750,-33 39 56.700,21.641,0.021,20.956,0.041
1 00 02.000,-33 39 56.800,22.626,0.045,22.201,0.127
1 01 09.100,-33 39 56.900,20.260,0.008,20.138,0.023
1 00 19.210,-33 39 57.100,19.521,0.006,18.652,0.007
0 58 05.370,-33 39 57.200,18.576,0.005,17.728,0.005
1 04 39.270,-33 39 57.300,20.903,0.033,19.459,0.019
1 06 35.440,-33 39 57.300,21.417,0.023,19.188,0.011
1 00 20.480,-33 39 57.400,22.611,0.043,22.793,0.225
1 01 04.230,-33 39 57.400,19.963,0.007,19.081,0.009
0 59 33.450,-33 39 57.500,21.141,0.015,20.433,0.026
1 00 16.150,-33 39 57.500,19.940,0.007,19.597,0.014
1 06 14.290,-33 39 57.600,22.405,0.086,19.922,0.023
0 59 53.180,-33 39 57.700,20.233,0.008,19.656,0.015
